Test,run,rcoil_coff,zone_capacitance_value,r_value,r_ceil,surface_area,bronze_thermal_mass_layer_thickness,plenum_surface_area,plenum_thickness,mixing_flowrate
8,33396,0.75,21.0,0.038,0.054,0.02,0.12,0.01,0.05,0.003
8,57222,0.8,21.0,0.038,0.054,0.02,0.12,0.01,0.07,0.003
8,45287,0.8,21.0,0.038,0.054,0.02,0.12,0.03,0.05,0.003
8,14784,0.75,21.0,0.038,0.054,0.04,0.06,0.01,0.05,0.003
8,1056,0.75,21.0,0.038,0.054,0.06,0.04,0.01,0.09,0.003
8,2596,0.75,21.0,0.038,0.054,0.02,0.06,0.05,0.07,0.003
8,54978,0.8,21.0,0.038,0.054,0.02,0.1,0.01,0.11,0.003
8,47795,0.8,21.0,0.038,0.054,0.02,0.04,0.03,0.09,0.003
8,33286,0.75,21.0,0.038,0.054,0.02,0.12,0.05,0.01,0.003
8,15048,0.75,21.0,0.038,0.054,0.06,0.06,0.01,0.01,0.003
8,21802,0.75,21.0,0.038,0.054,0.04,0.12,0.05,0.01,0.003
8,12419,0.75,21.0,0.038,0.054,0.04,0.04,0.03,0.05,0.003
8,54791,0.8,21.0,0.038,0.054,0.02,0.1,0.03,0.05,0.003
8,7557,0.75,21.0,0.038,0.054,0.04,0.1,0.07,0.01,0.003
8,7172,0.75,21.0,0.038,0.054,0.02,0.1,0.09,0.01,0.003
8,10098,0.75,21.0,0.038,0.054,0.04,0.12,0.01,0.07,0.003
8,24046,0.75,21.0,0.038,0.054,0.02,0.04,0.05,0.09,0.003
8,50171,0.8,21.0,0.038,0.054,0.02,0.06,0.03,0.09,0.003
8,2475,0.75,21.0,0.038,0.054,0.02,0.06,0.07,0.03,0.003
8,55044,0.8,21.0,0.038,0.054,0.04,0.1,0.01,0.01,0.003
8,64361,0.8,21.0,0.038,0.054,0.02,0.08,0.03,0.07,0.003
8,54912,0.8,21.0,0.038,0.054,0.02,0.1,0.01,0.09,0.003
8,24750,0.75,21.0,0.038,0.054,0.06,0.04,0.01,0.07,0.003
8,2519,0.75,21.0,0.038,0.054,0.02,0.06,0.03,0.05,0.003
